task,source_layer,target_rank,downstream_layer,distance,metric,clean_value,intervened_value,delta,abs_delta
sst2,0,1,1,1,effective_rank,22.223249696195126,1.1647191494703293,-21.058530546724796,21.058530546724796
sst2,0,1,1,1,stable_rank,3.1631225794553757,1.001303967088461,-2.1618186123669147,2.1618186123669147
sst2,0,1,1,1,mean_pairwise_cosine,0.28139249072410166,0.9986282913014293,0.7172358005773276,0.7172358005773276
sst2,0,1,1,1,attention_entropy,1.6648044064640999,3.096332661807537,1.4315282553434372,1.4315282553434372
sst2,0,1,2,2,effective_rank,21.115412153303623,1.1060241963714361,-20.009387956932187,20.009387956932187
sst2,0,1,2,2,stable_rank,2.2293835133314133,1.0004411153495312,-1.228942397981882,1.228942397981882
sst2,0,1,2,2,mean_pairwise_cosine,0.4059231160208583,0.9995316928252578,0.5936085768043995,0.5936085768043995
sst2,0,1,2,2,attention_entropy,1.6194153791293502,3.118898507207632,1.4994831280782819,1.4994831280782819
sst2,0,1,3,3,effective_rank,19.632565714418888,1.0741578619927168,-18.55840785242617,18.55840785242617
sst2,0,1,3,3,stable_rank,1.7442014180123806,1.0001814924180508,-0.7440199255943298,0.7440199255943298
sst2,0,1,3,3,mean_pairwise_cosine,0.5122592430561781,0.9998064497485757,0.4875472066923976,0.4875472066923976
sst2,0,1,3,3,attention_entropy,1.2889608200639486,3.1188926100730896,1.829931790009141,1.829931790009141
sst2,0,1,4,4,effective_rank,17.060231760144234,1.0525437518954277,-16.007688008248806,16.007688008248806
sst2,0,1,4,4,stable_rank,1.4501433949917555,1.000088544562459,-0.4500548504292965,0.4500548504292965
sst2,0,1,4,4,mean_pairwise_cosine,0.5785202090628445,0.9999023647978902,0.42138215573504567,0.42138215573504567
sst2,0,1,4,4,attention_entropy,1.6850440111011267,3.1187236420810223,1.4336796309798956,1.4336796309798956
sst2,0,1,5,5,effective_rank,18.338236525654793,1.046731574460864,-17.29150495119393,17.29150495119393
sst2,0,1,5,5,stable_rank,2.070058349519968,1.0000966601073742,-1.0699616894125938,1.0699616894125938
sst2,0,1,5,5,mean_pairwise_cosine,0.474280446767807,0.9999016104266047,0.5256211636587977,0.5256211636587977
sst2,0,1,5,5,attention_entropy,1.9212252125144005,3.118600945919752,1.1973757334053516,1.1973757334053516
sst2,0,2,1,1,effective_rank,22.223249696195126,2.5113992653787136,-19.711850430816412,19.711850430816412
sst2,0,2,1,1,stable_rank,3.1631225794553757,1.1197052616626024,-2.0434173177927732,2.0434173177927732
sst2,0,2,1,1,mean_pairwise_cosine,0.28139249072410166,0.8982446491718292,0.6168521584477276,0.6168521584477276
sst2,0,2,1,1,attention_entropy,1.6648044064640999,2.9723791014403105,1.3075746949762106,1.3075746949762106
sst2,0,2,2,2,effective_rank,21.115412153303623,2.2407135404646397,-18.874698612838984,18.874698612838984
sst2,0,2,2,2,stable_rank,2.2293835133314133,1.0597290135920048,-1.1696544997394085,1.1696544997394085
sst2,0,2,2,2,mean_pairwise_cosine,0.4059231160208583,0.9426389699801803,0.536715853959322,0.536715853959322
sst2,0,2,2,2,attention_entropy,1.6194153791293502,3.028934482485056,1.4095191033557057,1.4095191033557057
sst2,0,2,3,3,effective_rank,19.632565714418888,2.0168498028069735,-17.615715911611915,17.615715911611915
sst2,0,2,3,3,stable_rank,1.7442014180123806,1.0361359938979149,-0.7080654241144657,0.7080654241144657
sst2,0,2,3,3,mean_pairwise_cosine,0.5122592430561781,0.9623420890420675,0.45008284598588943,0.45008284598588943
sst2,0,2,3,3,attention_entropy,1.2889608200639486,2.983260978013277,1.6943001579493284,1.6943001579493284
sst2,0,2,4,4,effective_rank,17.060231760144234,1.7771489415317774,-15.283082818612456,15.283082818612456
sst2,0,2,4,4,stable_rank,1.4501433949917555,1.0194765906780958,-0.43066680431365967,0.43066680431365967
sst2,0,2,4,4,mean_pairwise_cosine,0.5785202090628445,0.9783182805404067,0.3997980714775622,0.3997980714775622
sst2,0,2,4,4,attention_entropy,1.6850440111011267,3.0363982431590557,1.351354232057929,1.351354232057929
sst2,0,2,5,5,effective_rank,18.338236525654793,1.7493878826498985,-16.588848643004894,16.588848643004894
sst2,0,2,5,5,stable_rank,2.070058349519968,1.02300382591784,-1.047054523602128,1.047054523602128
sst2,0,2,5,5,mean_pairwise_cosine,0.474280446767807,0.9781441483646631,0.5038637015968561,0.5038637015968561
sst2,0,2,5,5,attention_entropy,1.9212252125144005,3.0274852011352777,1.1062599886208773,1.1062599886208773
sst2,0,4,1,1,effective_rank,22.223249696195126,6.125596351921558,-16.097653344273567,16.097653344273567
sst2,0,4,1,1,stable_rank,3.1631225794553757,1.3267816305160522,-1.8363409489393234,1.8363409489393234
sst2,0,4,1,1,mean_pairwise_cosine,0.28139249072410166,0.7628338783979416,0.4814413876738399,0.4814413876738399
sst2,0,4,1,1,attention_entropy,1.6648044064640999,2.752610130235553,1.087805723771453,1.087805723771453
sst2,0,4,2,2,effective_rank,21.115412153303623,5.387776490300894,-15.72763566300273,15.72763566300273
sst2,0,4,2,2,stable_rank,2.2293835133314133,1.1701361369341612,-1.059247376397252,1.059247376397252
sst2,0,4,2,2,mean_pairwise_cosine,0.4059231160208583,0.8543605674058199,0.4484374513849616,0.4484374513849616
sst2,0,4,2,2,attention_entropy,1.6194153791293502,2.8620497081428766,1.2426343290135264,1.2426343290135264
sst2,0,4,3,3,effective_rank,19.632565714418888,4.667914945632219,-14.964650768786669,14.964650768786669
sst2,0,4,3,3,stable_rank,1.7442014180123806,1.1067757736891508,-0.6374256443232298,0.6374256443232298
sst2,0,4,3,3,mean_pairwise_cosine,0.5122592430561781,0.9000792969018221,0.387820053845644,0.387820053845644
sst2,0,4,3,3,attention_entropy,1.2889608200639486,2.7142733223736286,1.42531250230968,1.42531250230968
sst2,0,4,4,4,effective_rank,17.060231760144234,3.6770768240094185,-13.383154936134815,13.383154936134815
sst2,0,4,4,4,stable_rank,1.4501433949917555,1.0534915328025818,-0.3966518621891737,0.3966518621891737
sst2,0,4,4,4,mean_pairwise_cosine,0.5785202090628445,0.9420428536832333,0.36352264462038875,0.36352264462038875
sst2,0,4,4,4,attention_entropy,1.6850440111011267,2.9028658904135227,1.217821879312396,1.217821879312396
sst2,0,4,5,5,effective_rank,18.338236525654793,3.421596225351095,-14.916640300303698,14.916640300303698
